ISBN|Titre|Auteur|Editeur|Categorie|Synopsis|Parution|Prix|Image.URL.L
9780006163831|The One Tree|Stephen Donaldson|Harpercollins Uk|American fiction|Volume Two of Stephen Donaldson's acclaimed second trilogy featuing the compelling anti-hero Thomas Covenant.|1982|223|http://images.amazon.com/images/P/0006163831.01.LZZZZZZZ.jpg
9780006512677|Spares|Michael Marsh Smith|Harper Collins Publishers|Human cloning|Spares - human clones, the ultimate health insurance. An eye for an eye - but some people are doing all the taking. The story of Jack Randall: burnt-out, dropped out, and way overdrawn at the luck bank. But as caretaker on a Spares Farm, he still has a choice, and it might make a difference.|1998|211|http://images.amazon.com/images/P/0006512674.01.LZZZZZZZ.jpg
9780020199854|The Love of the Last Tycoon|F. Scott Fitzgerald|Scribner|Fiction|Depicts the inner-workings of the Hollywood movie industry and its impact on the fabric of American life.|1994|25|http://images.amazon.com/images/P/0020199856.01.LZZZZZZZ.jpg
9780020360759|Heart Songs and Other Stories|Annie Proulx|Scribner|Fiction|Before she wrote her Pulitzer Prize-winning bestseller The Shipping News, E. Annie Proulx was already producing some of the finest short fiction in the country. Here are her collected stories, including two new works never before anthologized. These stories reverberate with rural tradition, the rites of nature, and the rituals of small-town life. The country is blue-collar New England; the characters are native families and the dispossessed working class, whose heritage is challenged by the neorural bourgeoisie from the city; and the themes are as elemental as the landscape: revenge, malice, greed, passion. Told with skill and profundity and crafted by a master storyteller, these are lean, tough tales of an extraordinary place and its people.|1995|110|http://images.amazon.com/images/P/0020360754.01.LZZZZZZZ.jpg
9780020442608|The voyage of the Dawn Treader|C. S. Lewis|MacMillan Publishing Company.|Juvenile Fiction|The "Dawn Treader" is the first ship Narnia has seen in centuries. King Caspian has built it for his voyage to find the seven lords, good men whom his evil uncle Mizaz banished when he usurped the throne. The journey takes Edmund, Lucy, and their cousin Eustace to the Eastern Islands, beyond the Silver Sea, toward Aslan's country at the End of the World. Illustrations.|1970|146|http://images.amazon.com/images/P/0020442602.01.LZZZZZZZ.jpg
9780020442806|The Chronicles of Narnia: Lion, the witch and the wardrobe|C. S. Lewis|MacMillan Publishing Company.|Fairy tales|Unavailable description|1978|101|http://images.amazon.com/images/P/0020442807.01.LZZZZZZZ.jpg
9780020518600|The Short Stories of Ernest Hemingway|Ernest Hemingway|Simon &amp; Schuster|Fiction|Forty-nine stories reflect much of the intensity of Hemingway's own life and environment|1986|185|http://images.amazon.com/images/P/0020518609.01.LZZZZZZZ.jpg
9780024181909|The Elements of Style|William Strunk Jr.|Pearson P T R|Language Arts & Disciplines|The only style manual ever to appear on the best-seller lists offers practical, fundamental advice on improving writing skills, promoting a style marked by simplicity, orderliness, and sincerity|1979|268|http://images.amazon.com/images/P/0024181900.01.LZZZZZZZ.jpg
9780060009427|How to Read Literature Like a Professor|Thomas C. Foster|Perennial Currents|Literary Criticism|What does it mean when a fictional hero takes a journey?. Shares a meal? Gets drenched in a sudden rain shower? Often, there is much more going on in a novel or poem than is readily visible on the surface—a symbol, maybe, that remains elusive, or an unexpected twist on a character—and there's that sneaking suspicion that the deeper meaning of a literary text keeps escaping you. In this practical and amusing guide to literature, Thomas C. Foster shows how easy and gratifying it is to unlock those hidden truths, and to discover a world where a road leads to a quest; a shared meal may signify a communion; and rain, whether cleansing or destructive, is never just rain. Ranging from major themes to literary models, narrative devices, and form, How to Read Literature Like a Professor is the perfect companion for making your reading experience more enriching, satisfying, and fun.|2003|254|http://images.amazon.com/images/P/006000942X.01.LZZZZZZZ.jpg
9780060012380|The Wee Free Men|Terry Pratchett|HarperTrophy|Juvenile Fiction|A nightmarish danger threatens from the other side of reality . . . Armed with only a frying pan and her common sense, young witch-to-be Tiffany Aching must defend her home against the monsters of Fairyland. Luckily she has some very unusual help: the local Nac Mac Feegle—aka the Wee Free Men—a clan of fierce, sheep-stealing, sword-wielding, six-inch-high blue men. Together they must face headless horsemen, ferocious grimhounds, terrifying dreams come true, and ultimately the sinister Queen of the Elves herself. . . . A Story of Discworld|2004|16|http://images.amazon.com/images/P/0060012382.01.LZZZZZZZ.jpg
